,Unigene ID,BREAST_BT549,BREAST_HS578T,BREAST_MCF7,BREAST_MCF7ADRr,BREAST_MDAMB231,BREAST_MDAMB435,BREAST_MDAN,BREAST_T47D,CNS_SF268,CNS_SF295,CNS_SF539,CNS_SNB19,CNS_SNB75,CNS_U251,COLON_COLO205,COLON_HCC2998,COLON_HCT116,COLON_HCT15,COLON_HT29,COLON_KM12,COLON_SW620,LEUK_CCRFCEM,LEUK_HL60,LEUK_K562,LEUK_MOLT4,LEUK_RPMI8226,LEUK_SR,MELAN_LOXIMVI,MELAN_M14,MELAN_MALME3M,MELAN_SKMEL2,MELAN_SKMEL28,MELAN_SKMEL5,MELAN_UACC257,MELAN_UACC62,NSCLC_A549,NSCLC_EKVX,NSCLC_H226,NSCLC_H23,NSCLC_H322M,NSCLC_H460,NSCLC_H522,NSCLC_HOP62,NSCLC_HOP92,OVAR_IGROV1,OVAR_OVCAR3,OVAR_OVCAR4,OVAR_OVCAR5,OVAR_OVCAR8,OVAR_SKOV3,PROSTATE_DU145,PROSTATE_PC3,RENAL_7860,RENAL_A498,RENAL_ACHN,RENAL_CAKI1,RENAL_RXF393,RENAL_SN12C,RENAL_TK10,RENAL_UO31
61539,Hs.282624,-0.946,-1.221,-1.26,-1.064,-1.394,-0.372,-0.644,-0.753,-1.227,-1.629,-0.637,-1.286,-1.266,-1.289,1.359,2.247,-0.942,-1.192,0.75,1.054,-0.65,-0.578,0.89,-0.128,-1.464,0.083,-0.892,0.105,-0.356,-1.16,-0.726,0.198,-0.757,-0.593,-0.959,2.609,0.539,-1.447,-1.415,-1.658,0.728,2.286,-0.443,-1.419,0.922,-0.814,-0.842,-1.316,-0.945,-2.701,-1.318,-0.807,0.337,2.676,1.761,1.121,-1.732,-0.586,-0.717,-0.582
67939,Hs.432132,0.866,-0.893,0.933,0.838,1.656,0.667,1.15,1.618,0.771,0.607,0.709,-0.196,0.499,-0.365,0.711,0.509,0.591,0.925,0.067,-0.066,0.122,0.886,0.768,-0.08,0.219,2.154,1.241,0.088,1.243,1.574,1.433,0.853,1.645,0.745,0.915,0.396,0.848,-0.129,0.498,0.535,-0.346,0.825,0.036,2.594,1.38,1.016,0.553,1.542,-0.081,-0.024,1.063,0.185,0.41,0.921,0.735,0.437,0.606,0.252,0.439,-0.108
68068,Hs.13034,0.441,-0.353,1.142,0.628,1.246,0.543,0.981,1.943,0.722,-0.048,0.051,0.248,0.582,-0.381,0.389,0.052,0.539,0.803,-0.05,-0.026,-0.207,0.499,0.689,0.305,0.131,2.079,0.989,-0.236,0.864,1.393,0.878,0.972,1.147,0.636,0.396,0.151,0.566,-0.056,0.946,0.1,0.518,0.54,-0.093,1.914,0.655,1.443,0.86,1.242,-0.15,0.092,0.642,-0.272,-0.146,0.771,0.541,0.509,0.402,-0.072,0.87,0.246
72199,Hs.497741,-0.173,-1.587,-0.748,-1.453,0.674,0.109,0.157,-0.053,-0.279,-0.366,0.896,0.51,0.584,0.589,-0.172,-2.997,-0.414,0.525,-0.256,-0.56,0.443,1.044,0.839,0.028,0.383,-0.437,0.089,-0.173,1.045,-0.368,-0.551,0.739,0.022,0.391,-0.42,0.193,-1.068,-1.671,0.246,-0.441,0.974,0.159,-0.023,-0.11,-0.106,-0.009,-0.836,-0.36,-1.562,-0.481,-0.255,0.352,-0.245,-0.659,-0.104,0.145,-0.122,-0.511,0.375,-0.547
72214,Hs.503666,-0.471,-0.971,-1.244,0.031,-0.877,-0.641,-0.258,0.332,-0.728,-0.593,-1.723,-0.477,-0.113,-0.2,-0.587,-1.653,-0.639,-0.474,-1.187,-0.542,-0.075,-0.523,-1.021,1.888,-0.459,-0.229,-0.359,-1.426,-0.336,-1.022,-1.109,-0.801,-0.685,-0.333,-0.214,-0.266,-0.224,-0.727,-0.384,-1.035,0.301,-0.179,-1.113,-0.718,-0.725,-1.497,-0.752,-0.909,-0.654,-1.36,-0.434,-0.896,-0.531,-0.872,-0.952,-0.438,-0.095,0.614,-0.873,-0.889
73185,Hs.291587,-5.598,-5.774,-7.045,-5.567,-8.173,-7.3,-6.352,-5.007,-8.272,-4.602,-7.777,-5.404,-5.601,-7.445,-6.395,-4.179,-3.733,-4.119,-5.223,-4.854,-5.374,-5.889,-5.18,2.969,-6.478,-4.772,-6.521,-5.023,-4.682,-4.08,-5.682,-4.628,-5.333,-3.771,-5.571,-4.146,-4.039,-5.933,-6.153,-5.255,-4.407,-5.989,-6.401,-7.971,-4.541,-5.917,-5.56,-4.969,-5.557,-5.846,-4.768,-4.458,-4.289,-3.64,-3.486,-6.019,-5.435,-6.923,-5.3,-6.088
74275,,-0.495,-4.638,-2.003,-3.949,-6.531,-5.367,-5.27,-2.669,-4.928,-3.234,-4.549,-4.084,-4.393,-5.45,-2.991,-2.46,-2.709,-3.759,-3.492,-3.205,-3.607,-4.522,-3.479,3.439,-4.591,-1.569,-4.502,-3.431,-4.086,-2.734,-3.918,-3.682,-5.226,-2.428,-3.741,-3.558,-3.598,-3.001,-3.48,-4.465,-3.343,-3.344,-3.922,-5.529,-2.902,-3.774,-2.828,-2.972,-4.322,-4.847,-3.592,-3.34,-2.541,-2.46,-2.725,-4.562,-3.865,-5.466,-4.143,-4.198
74070,,-2.947,-3.285,-1.441,-3.042,-5.192,-4.348,-4.205,-2.16,-3.876,-2.871,-3.837,-3.284,-1.318,-4.282,-2.764,-2.484,-2.385,-3.583,-2.663,-3.132,-2.784,-3.763,-3.727,3.348,-3.743,-1.509,-3.796,-3.241,-3.587,-2.443,-2.68,-3.22,-3.729,-2.277,-2.805,-3.09,-1.254,-3.353,-3.771,-3.209,-2.994,-2.32,-3.273,-4.645,-2.716,-3.721,-2.921,-2.737,-3.53,-3.913,-2.804,-3.35,-2.252,-1.789,-2.43,-3.749,-3.377,-4.355,-3.315,-3.818
76539,Hs.365706,1.13,1.443,-0.062,0.318,0.207,0.165,0.064,2.578,1.157,0.466,1.446,1.029,0.187,1.073,-0.968,-0.595,-1.248,-0.808,-0.407,-0.413,-1.117,0.118,0.203,-0.415,-0.484,-0.937,0.453,-0.168,-0.208,-0.398,-0.34,-0.646,0.145,-0.631,1.4,-0.22,0.673,0.072,0.102,0.081,-0.936,-0.054,0.192,0.843,-0.464,-0.137,0.61,-0.934,1.201,-0.585,-0.143,-0.236,0.16,0.666,0.08,0.016,1.061,-0.267,0.398,0.548
79319,,-0.551,1.735,-4.027,0.114,-1.366,-1.465,-1.37,-1.735,-2.853,0.551,1.052,-0.116,0.858,-0.338,-0.379,0.14,0.442,-0.311,1.328,0.294,-0.552,-1.744,-2.749,-2.122,-1.948,-3.188,-1.142,0.801,-0.631,-1.278,-0.93,0.887,-1.691,-1.181,-0.915,1.507,-1.657,-0.309,-1.788,-0.669,2.004,-4.662,1.598,1.977,0.058,-1.178,0.061,2.847,0.313,0.644,1.264,0.477,0.749,2.308,-1.046,0.508,0.133,-2.213,-0.728,-0.478
